image,camera,participant_id,file_id,annotation_id,chunk_id,activity,obj_class,split,src_split,frame
a_column_co_driver__run2_2018-05-24-14-35-56.ids_2__vp11__ann56__ch8.jpg,a_column_co_driver,11,vp11/run2_2018-05-24-14-35-56.ids_2,56,8,talking_on_phone,phone,train,test,14713
a_column_co_driver__run1b_2018-05-08-08-46-01.ids_2__vp3__ann34__ch6.jpg,a_column_co_driver,3,vp3/run1b_2018-05-08-08-46-01.ids_2,34,6,interacting_with_phone,phone,train,train,19104
a_column_co_driver__run1_2018-05-23-10-21-45.ids_2__vp6__ann47__ch9.jpg,a_column_co_driver,6,vp6/run1_2018-05-23-10-21-45.ids_2,47,9,interacting_with_phone,phone,train,train,25505
a_column_co_driver__run1_2018-05-22-13-28-51.ids_2__vp4__ann80__ch22.jpg,a_column_co_driver,4,vp4/run1_2018-05-22-13-28-51.ids_2,80,22,interacting_with_phone,phone,train,train,42448
a_column_co_driver__run2_2018-05-29-14-33-44.ids_2__vp1__ann67__ch1.jpg,a_column_co_driver,1,vp1/run2_2018-05-29-14-33-44.ids_2,67,1,talking_on_phone,phone,train,train,26884
a_column_co_driver__run2_2018-05-23-15-30-27.ids_2__vp8__ann38__ch10.jpg,a_column_co_driver,8,vp8/run2_2018-05-23-15-30-27.ids_2,38,10,talking_on_phone,phone,val,train,12752
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann95__ch3.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,95,3,talking_on_phone,phone,train,train,45902
a_column_co_driver__run1_2018-05-23-10-21-45.ids_2__vp6__ann47__ch3.jpg,a_column_co_driver,6,vp6/run1_2018-05-23-10-21-45.ids_2,47,3,interacting_with_phone,phone,train,train,24966
a_column_co_driver__run1_2018-05-29-15-21-10.ids_2__vp13__ann60__ch11.jpg,a_column_co_driver,13,vp13/run1_2018-05-29-15-21-10.ids_2,60,11,interacting_with_phone,phone,train,test,30794
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann12__ch6.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,12,6,talking_on_phone,phone,test,val,8473
a_column_co_driver__run2_2018-05-24-14-08-46.ids_2__vp10__ann115__ch13.jpg,a_column_co_driver,10,vp10/run2_2018-05-24-14-08-46.ids_2,115,13,interacting_with_phone,phone,train,train,39289
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann26__ch2.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,26,2,interacting_with_phone,phone,train,train,16271
a_column_co_driver__run1_2018-05-22-13-28-51.ids_2__vp4__ann80__ch17.jpg,a_column_co_driver,4,vp4/run1_2018-05-22-13-28-51.ids_2,80,17,interacting_with_phone,phone,train,train,42032
a_column_co_driver__run2_2018-05-30-13-34-33.ids_2__vp15__ann14__ch19.jpg,a_column_co_driver,15,vp15/run2_2018-05-30-13-34-33.ids_2,14,19,talking_on_phone,phone,train,val,9594
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann80__ch8.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,80,8,talking_on_phone,phone,train,train,37691
a_column_co_driver__run2_2018-05-24-14-08-46.ids_2__vp10__ann18__ch1.jpg,a_column_co_driver,10,vp10/run2_2018-05-24-14-08-46.ids_2,18,1,talking_on_phone,phone,train,train,9192
a_column_co_driver__run2_2018-05-24-17-22-26.ids_2__vp2__ann62__ch8.jpg,a_column_co_driver,2,vp2/run2_2018-05-24-17-22-26.ids_2,62,8,interacting_with_phone,phone,train,train,27203
a_column_co_driver__run1_2018-05-24-15-44-28.ids_2__vp12__ann87__ch10.jpg,a_column_co_driver,12,vp12/run1_2018-05-24-15-44-28.ids_2,87,10,talking_on_phone,phone,train,train,36950
a_column_co_driver__run1_2018-05-24-13-44-01.ids_2__vp11__ann32__ch5.jpg,a_column_co_driver,11,vp11/run1_2018-05-24-13-44-01.ids_2,32,5,talking_on_phone,phone,train,test,17297
a_column_co_driver__run2b_2018-05-23-13-54-07.ids_2__vp7__ann79__ch3.jpg,a_column_co_driver,7,vp7/run2b_2018-05-23-13-54-07.ids_2,79,3,talking_on_phone,phone,val,train,22954
a_column_co_driver__run2_2018-05-23-15-30-27.ids_2__vp8__ann38__ch12.jpg,a_column_co_driver,8,vp8/run2_2018-05-23-15-30-27.ids_2,38,12,talking_on_phone,phone,val,train,12932
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann23__ch9.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,23,9,interacting_with_phone,phone,val,train,16513
a_column_co_driver__run1b_2018-05-08-08-46-01.ids_2__vp3__ann34__ch8.jpg,a_column_co_driver,3,vp3/run1b_2018-05-08-08-46-01.ids_2,34,8,interacting_with_phone,phone,train,train,19265
a_column_co_driver__run2_2018-05-23-15-30-27.ids_2__vp8__ann34__ch1.jpg,a_column_co_driver,8,vp8/run2_2018-05-23-15-30-27.ids_2,34,1,interacting_with_phone,phone,val,train,11413
a_column_co_driver__run2_2018-05-29-14-33-44.ids_2__vp1__ann67__ch10.jpg,a_column_co_driver,1,vp1/run2_2018-05-29-14-33-44.ids_2,67,10,talking_on_phone,phone,train,train,27696
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann63__ch0.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,63,0,interacting_with_phone,phone,test,val,25145
a_column_co_driver__run2_2018-05-24-14-08-46.ids_2__vp10__ann115__ch9.jpg,a_column_co_driver,10,vp10/run2_2018-05-24-14-08-46.ids_2,115,9,interacting_with_phone,phone,train,train,38926
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann39__ch6.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,39,6,talking_on_phone,phone,train,test,18877
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann26__ch6.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,26,6,interacting_with_phone,phone,train,train,16630
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann26__ch4.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,26,4,interacting_with_phone,phone,train,train,16451
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann114__ch11.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,114,11,interacting_with_phone,phone,train,train,45362
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann81__ch13.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,81,13,talking_on_phone,phone,train,test,33714
a_column_co_driver__run1b_2018-05-29-14-02-47.ids_2__vp1__ann90__ch0.jpg,a_column_co_driver,1,vp1/run1b_2018-05-29-14-02-47.ids_2,90,0,talking_on_phone,phone,train,train,25562
a_column_co_driver__run2_2018-05-30-13-34-33.ids_2__vp15__ann14__ch6.jpg,a_column_co_driver,15,vp15/run2_2018-05-30-13-34-33.ids_2,14,6,talking_on_phone,phone,train,val,8430
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann72__ch7.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,72,7,interacting_with_phone,phone,train,train,25057
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann26__ch5.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,26,5,interacting_with_phone,phone,train,train,16541
a_column_co_driver__run1_2018-05-29-15-21-10.ids_2__vp13__ann72__ch0.jpg,a_column_co_driver,13,vp13/run1_2018-05-29-15-21-10.ids_2,72,0,talking_on_phone,phone,train,test,32795
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann101__ch5.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,101,5,talking_on_phone,phone,train,val,31726
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann39__ch0.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,39,0,talking_on_phone,phone,train,test,18345
a_column_co_driver__run1_2018-05-22-13-28-51.ids_2__vp4__ann80__ch6.jpg,a_column_co_driver,4,vp4/run1_2018-05-22-13-28-51.ids_2,80,6,interacting_with_phone,phone,train,train,41045
a_column_co_driver__run2_2018-05-30-13-34-33.ids_2__vp15__ann14__ch13.jpg,a_column_co_driver,15,vp15/run2_2018-05-30-13-34-33.ids_2,14,13,talking_on_phone,phone,train,val,9055
a_column_co_driver__run2b_2018-05-22-15-50-07.ids_2__vp5__ann35__ch0.jpg,a_column_co_driver,5,vp5/run2b_2018-05-22-15-50-07.ids_2,35,0,talking_on_phone,phone,train,test,11670
a_column_co_driver__run1b_2018-05-23-16-19-17.ids_2__vp9__ann101__ch11.jpg,a_column_co_driver,9,vp9/run1b_2018-05-23-16-19-17.ids_2,101,11,interacting_with_phone,phone,test,train,27425
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann95__ch6.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,95,6,talking_on_phone,phone,train,train,46154
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann12__ch5.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,12,5,talking_on_phone,phone,test,val,8382
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann12__ch1.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,12,1,talking_on_phone,phone,test,val,8022
a_column_co_driver__run1_2018-05-24-13-44-01.ids_2__vp11__ann34__ch0.jpg,a_column_co_driver,11,vp11/run1_2018-05-24-13-44-01.ids_2,34,0,interacting_with_phone,phone,train,test,18479
a_column_co_driver__run2_2018-05-30-13-34-33.ids_2__vp15__ann14__ch7.jpg,a_column_co_driver,15,vp15/run2_2018-05-30-13-34-33.ids_2,14,7,talking_on_phone,phone,train,val,8521
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann37__ch9.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,37,9,talking_on_phone,phone,test,val,17795
a_column_co_driver__run2_2018-05-24-14-08-46.ids_2__vp10__ann19__ch2.jpg,a_column_co_driver,10,vp10/run2_2018-05-24-14-08-46.ids_2,19,2,interacting_with_phone,phone,train,train,9565
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann39__ch15.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,39,15,talking_on_phone,phone,train,test,19680
a_column_co_driver__run1_2018-05-24-13-44-01.ids_2__vp11__ann32__ch8.jpg,a_column_co_driver,11,vp11/run1_2018-05-24-13-44-01.ids_2,32,8,talking_on_phone,phone,train,test,17565
a_column_co_driver__run2b_2018-05-22-15-50-07.ids_2__vp5__ann35__ch1.jpg,a_column_co_driver,5,vp5/run2b_2018-05-22-15-50-07.ids_2,35,1,talking_on_phone,phone,train,test,11760
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann66__ch0.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,66,0,interacting_with_phone,phone,train,train,38894
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann81__ch9.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,81,9,talking_on_phone,phone,train,test,33353
a_column_co_driver__run1_2018-05-22-13-28-51.ids_2__vp4__ann80__ch15.jpg,a_column_co_driver,4,vp4/run1_2018-05-22-13-28-51.ids_2,80,15,interacting_with_phone,phone,train,train,41854
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann72__ch5.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,72,5,interacting_with_phone,phone,train,train,24878
a_column_co_driver__run2_2018-05-23-15-30-27.ids_2__vp8__ann38__ch6.jpg,a_column_co_driver,8,vp8/run2_2018-05-23-15-30-27.ids_2,38,6,talking_on_phone,phone,val,train,12394
a_column_co_driver__run2_2018-05-24-14-08-46.ids_2__vp10__ann20__ch3.jpg,a_column_co_driver,10,vp10/run2_2018-05-24-14-08-46.ids_2,20,3,talking_on_phone,phone,train,train,10237
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann62__ch2.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,62,2,talking_on_phone,phone,train,train,20624
a_column_co_driver__run2_2018-05-24-14-35-56.ids_2__vp11__ann56__ch7.jpg,a_column_co_driver,11,vp11/run2_2018-05-24-14-35-56.ids_2,56,7,talking_on_phone,phone,train,test,14624
a_column_co_driver__run2_2018-05-29-14-33-44.ids_2__vp1__ann92__ch0.jpg,a_column_co_driver,1,vp1/run2_2018-05-29-14-33-44.ids_2,92,0,interacting_with_phone,phone,train,train,40195
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann31__ch5.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,31,5,talking_on_phone,phone,val,train,19435
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann95__ch0.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,95,0,talking_on_phone,phone,train,train,45633
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann27__ch2.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,27,2,talking_on_phone,phone,train,train,17608
a_column_co_driver__run1_2018-05-29-15-21-10.ids_2__vp13__ann72__ch2.jpg,a_column_co_driver,13,vp13/run1_2018-05-29-15-21-10.ids_2,72,2,talking_on_phone,phone,train,test,32976
a_column_co_driver__run1_2018-05-22-13-28-51.ids_2__vp4__ann80__ch11.jpg,a_column_co_driver,4,vp4/run1_2018-05-22-13-28-51.ids_2,80,11,interacting_with_phone,phone,train,train,41495
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann39__ch14.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,39,14,talking_on_phone,phone,train,test,19589
a_column_co_driver__run2_2018-05-29-14-33-44.ids_2__vp1__ann67__ch4.jpg,a_column_co_driver,1,vp1/run2_2018-05-29-14-33-44.ids_2,67,4,talking_on_phone,phone,train,train,27155
a_column_co_driver__run2_2018-05-29-14-33-44.ids_2__vp1__ann67__ch2.jpg,a_column_co_driver,1,vp1/run2_2018-05-29-14-33-44.ids_2,67,2,talking_on_phone,phone,train,train,26974
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann38__ch0.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,38,0,interacting_with_phone,phone,train,test,18276
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann9__ch0.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,9,0,interacting_with_phone,phone,test,val,7354
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann101__ch1.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,101,1,talking_on_phone,phone,train,val,31368
a_column_co_driver__run1_2018-05-22-13-28-51.ids_2__vp4__ann80__ch19.jpg,a_column_co_driver,4,vp4/run1_2018-05-22-13-28-51.ids_2,80,19,interacting_with_phone,phone,train,train,42212
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann54__ch2.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,54,2,interacting_with_phone,phone,train,train,29380
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann72__ch12.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,72,12,interacting_with_phone,phone,train,train,25504
a_column_co_driver__run1_2018-05-22-13-28-51.ids_2__vp4__ann80__ch18.jpg,a_column_co_driver,4,vp4/run1_2018-05-22-13-28-51.ids_2,80,18,interacting_with_phone,phone,train,train,42122
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann26__ch11.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,26,11,interacting_with_phone,phone,train,train,17078
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann27__ch1.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,27,1,talking_on_phone,phone,train,train,17518
a_column_co_driver__run2_2018-05-24-17-22-26.ids_2__vp2__ann82__ch3.jpg,a_column_co_driver,2,vp2/run2_2018-05-24-17-22-26.ids_2,82,3,talking_on_phone,phone,train,train,37949
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann114__ch5.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,114,5,interacting_with_phone,phone,train,train,44820
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann69__ch4.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,69,4,interacting_with_phone,phone,val,train,22396
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann31__ch8.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,31,8,talking_on_phone,phone,val,train,19706
a_column_co_driver__run1b_2018-05-08-08-46-01.ids_2__vp3__ann45__ch14.jpg,a_column_co_driver,3,vp3/run1b_2018-05-08-08-46-01.ids_2,45,14,talking_on_phone,phone,train,train,22868
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann37__ch1.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,37,1,talking_on_phone,phone,val,train,14634
a_column_co_driver__run1b_2018-05-23-16-19-17.ids_2__vp9__ann101__ch12.jpg,a_column_co_driver,9,vp9/run1b_2018-05-23-16-19-17.ids_2,101,12,interacting_with_phone,phone,test,train,27514
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann23__ch8.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,23,8,interacting_with_phone,phone,val,train,16439
a_column_co_driver__run1_2018-05-23-10-21-45.ids_2__vp6__ann47__ch10.jpg,a_column_co_driver,6,vp6/run1_2018-05-23-10-21-45.ids_2,47,10,interacting_with_phone,phone,train,train,25595
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann114__ch4.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,114,4,interacting_with_phone,phone,train,train,44729
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann110__ch0.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,110,0,talking_on_phone,phone,val,train,33067
a_column_co_driver__run2b_2018-05-22-15-50-07.ids_2__vp5__ann34__ch1.jpg,a_column_co_driver,5,vp5/run2b_2018-05-22-15-50-07.ids_2,34,1,interacting_with_phone,phone,train,test,11616
a_column_co_driver__run2_2018-05-24-14-35-56.ids_2__vp11__ann56__ch3.jpg,a_column_co_driver,11,vp11/run2_2018-05-24-14-35-56.ids_2,56,3,talking_on_phone,phone,train,test,14263
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann102__ch0.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,102,0,interacting_with_phone,phone,train,val,32383
a_column_co_driver__run2_2018-05-29-16-03-37.ids_2__vp3__ann47__ch0.jpg,a_column_co_driver,3,vp3/run2_2018-05-29-16-03-37.ids_2,47,0,interacting_with_phone,phone,train,train,21189
a_column_co_driver__run1b_2018-05-29-14-02-47.ids_2__vp1__ann20__ch5.jpg,a_column_co_driver,1,vp1/run1b_2018-05-29-14-02-47.ids_2,20,5,interacting_with_phone,phone,train,train,8561
a_column_co_driver__run2_2018-05-29-14-33-44.ids_2__vp1__ann92__ch5.jpg,a_column_co_driver,1,vp1/run2_2018-05-29-14-33-44.ids_2,92,5,interacting_with_phone,phone,train,train,40643
a_column_co_driver__run1_2018-05-29-15-21-10.ids_2__vp13__ann60__ch13.jpg,a_column_co_driver,13,vp13/run1_2018-05-29-15-21-10.ids_2,60,13,interacting_with_phone,phone,train,test,30972
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann96__ch3.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,96,3,interacting_with_phone,phone,train,train,46475
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann60__ch1.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,60,1,interacting_with_phone,phone,test,val,25962
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann101__ch0.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,101,0,talking_on_phone,phone,train,val,31277
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann66__ch1.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,66,1,interacting_with_phone,phone,train,train,38984
a_column_co_driver__run2_2018-05-23-15-30-27.ids_2__vp8__ann119__ch4.jpg,a_column_co_driver,8,vp8/run2_2018-05-23-15-30-27.ids_2,119,4,interacting_with_phone,phone,val,train,36630
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann27__ch0.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,27,0,talking_on_phone,phone,train,train,17429
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann43__ch3.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,43,3,interacting_with_phone,phone,train,val,13363
a_column_co_driver__run2_2018-05-30-13-34-33.ids_2__vp15__ann14__ch14.jpg,a_column_co_driver,15,vp15/run2_2018-05-30-13-34-33.ids_2,14,14,talking_on_phone,phone,train,val,9144
a_column_co_driver__run1_2018-05-29-15-21-10.ids_2__vp13__ann72__ch10.jpg,a_column_co_driver,13,vp13/run1_2018-05-29-15-21-10.ids_2,72,10,talking_on_phone,phone,train,test,33692
a_column_co_driver__run2b_2018-05-23-13-54-07.ids_2__vp7__ann69__ch3.jpg,a_column_co_driver,7,vp7/run2b_2018-05-23-13-54-07.ids_2,69,3,interacting_with_phone,phone,val,train,21659
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann101__ch7.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,101,7,talking_on_phone,phone,train,val,31903
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann72__ch9.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,72,9,interacting_with_phone,phone,train,train,25237
a_column_co_driver__run2_2018-05-24-14-35-56.ids_2__vp11__ann99__ch4.jpg,a_column_co_driver,11,vp11/run2_2018-05-24-14-35-56.ids_2,99,4,interacting_with_phone,phone,train,test,24810
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann28__ch1.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,28,1,interacting_with_phone,phone,train,train,18091
a_column_co_driver__run1b_2018-05-29-14-02-47.ids_2__vp1__ann20__ch10.jpg,a_column_co_driver,1,vp1/run1b_2018-05-29-14-02-47.ids_2,20,10,interacting_with_phone,phone,train,train,9012
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann80__ch0.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,80,0,talking_on_phone,phone,train,train,37006
a_column_co_driver__run2_2018-05-24-17-22-26.ids_2__vp2__ann62__ch9.jpg,a_column_co_driver,2,vp2/run2_2018-05-24-17-22-26.ids_2,62,9,interacting_with_phone,phone,train,train,27294
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann69__ch0.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,69,0,interacting_with_phone,phone,val,train,22036
a_column_co_driver__run2b_2018-05-22-15-50-07.ids_2__vp5__ann35__ch5.jpg,a_column_co_driver,5,vp5/run2b_2018-05-22-15-50-07.ids_2,35,5,talking_on_phone,phone,train,test,12116
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann37__ch2.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,37,2,talking_on_phone,phone,val,train,14703
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann39__ch2.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,39,2,talking_on_phone,phone,train,test,18523
a_column_co_driver__run2b_2018-05-23-13-54-07.ids_2__vp7__ann45__ch6.jpg,a_column_co_driver,7,vp7/run2b_2018-05-23-13-54-07.ids_2,45,6,talking_on_phone,phone,val,train,17409
a_column_co_driver__run2_2018-05-24-17-22-26.ids_2__vp2__ann82__ch1.jpg,a_column_co_driver,2,vp2/run2_2018-05-24-17-22-26.ids_2,82,1,talking_on_phone,phone,train,train,37768
a_column_co_driver__run2_2018-05-30-13-34-33.ids_2__vp15__ann46__ch3.jpg,a_column_co_driver,15,vp15/run2_2018-05-30-13-34-33.ids_2,46,3,interacting_with_phone,phone,train,val,14809
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann101__ch8.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,101,8,talking_on_phone,phone,train,val,31993
