image,camera,participant_id,file_id,annotation_id,chunk_id,activity,group,src_split,frame
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann85__ch4.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,85,4,eating,drink,train,33600
a_column_co_driver__run2b_2018-05-22-15-50-07.ids_2__vp5__ann70__ch8.jpg,a_column_co_driver,5,vp5/run2b_2018-05-22-15-50-07.ids_2,70,8,eating,drink,test,27063
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann85__ch8.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,85,8,eating,drink,train,33961
a_column_co_driver__run1b_2018-05-29-14-02-47.ids_2__vp1__ann114__ch1.jpg,a_column_co_driver,1,vp1/run1b_2018-05-29-14-02-47.ids_2,114,1,drinking,drink,train,29127
a_column_co_driver__run2_2018-05-29-14-33-44.ids_2__vp1__ann47__ch0.jpg,a_column_co_driver,1,vp1/run2_2018-05-29-14-33-44.ids_2,47,0,closing_bottle,drink,train,21503
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann101__ch0.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,101,0,eating,drink,train,47708
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann34__ch4.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,34,4,eating,drink,test,18604
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann51__ch4.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,51,4,eating,drink,test,24432
a_column_co_driver__run2_2018-05-29-14-33-44.ids_2__vp1__ann41__ch3.jpg,a_column_co_driver,1,vp1/run2_2018-05-29-14-33-44.ids_2,41,3,eating,drink,train,20052
a_column_co_driver__run2_2018-05-24-14-35-56.ids_2__vp11__ann82__ch0.jpg,a_column_co_driver,11,vp11/run2_2018-05-24-14-35-56.ids_2,82,0,eating,drink,test,20297
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann90__ch17.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,90,17,eating,drink,train,30432
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann47__ch0.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,47,0,closing_bottle,drink,train,15441
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann15__ch0.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,15,0,preparing_food,drink,train,8610
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann78__ch17.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,78,17,eating,drink,train,38723
a_column_co_driver__run1_2018-05-24-13-44-01.ids_2__vp11__ann73__ch1.jpg,a_column_co_driver,11,vp11/run1_2018-05-24-13-44-01.ids_2,73,1,preparing_food,drink,test,29597
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann58__ch7.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,58,7,eating,drink,train,29677
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann121__ch2.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,121,2,eating,drink,test,44844
a_column_co_driver__run1b_2018-05-23-16-19-17.ids_2__vp9__ann28__ch0.jpg,a_column_co_driver,9,vp9/run1b_2018-05-23-16-19-17.ids_2,28,0,eating,drink,train,10401
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann86__ch3.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,86,3,drinking,drink,train,41265
a_column_co_driver__run2_2018-05-23-15-30-27.ids_2__vp8__ann69__ch11.jpg,a_column_co_driver,8,vp8/run2_2018-05-23-15-30-27.ids_2,69,11,eating,drink,train,21519
a_column_co_driver__run1_2018-05-29-15-21-10.ids_2__vp13__ann39__ch5.jpg,a_column_co_driver,13,vp13/run1_2018-05-29-15-21-10.ids_2,39,5,eating,drink,test,22121
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann49__ch16.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,49,16,eating,drink,test,22366
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann93__ch38.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,93,38,eating,drink,val,37733
a_column_co_driver__run1b_2018-05-23-16-19-17.ids_2__vp9__ann23__ch2.jpg,a_column_co_driver,9,vp9/run1b_2018-05-23-16-19-17.ids_2,23,2,preparing_food,drink,train,9843
a_column_co_driver__run1b_2018-05-23-16-19-17.ids_2__vp9__ann19__ch0.jpg,a_column_co_driver,9,vp9/run1b_2018-05-23-16-19-17.ids_2,19,0,closing_bottle,drink,train,9247
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann92__ch0.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,92,0,eating,drink,train,31484
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann93__ch2.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,93,2,eating,drink,val,34499
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann100__ch1.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,100,1,drinking,drink,val,39932
a_column_co_driver__run1_2018-05-24-15-44-28.ids_2__vp12__ann42__ch11.jpg,a_column_co_driver,12,vp12/run1_2018-05-24-15-44-28.ids_2,42,11,eating,drink,train,19380
a_column_co_driver__run1b_2018-05-23-16-19-17.ids_2__vp9__ann75__ch0.jpg,a_column_co_driver,9,vp9/run1b_2018-05-23-16-19-17.ids_2,75,0,eating,drink,train,19375
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann21__ch0.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,21,0,eating,drink,train,10941
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann123__ch6.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,123,6,eating,drink,test,46147
a_column_co_driver__run2_2018-05-29-14-33-44.ids_2__vp1__ann41__ch1.jpg,a_column_co_driver,1,vp1/run2_2018-05-29-14-33-44.ids_2,41,1,eating,drink,train,19875
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann6__ch1.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,6,1,opening_bottle,drink,train,7549
a_column_co_driver__run2_2018-05-23-11-05-00.ids_2__vp6__ann30__ch9.jpg,a_column_co_driver,6,vp6/run2_2018-05-23-11-05-00.ids_2,30,9,eating,drink,train,15638
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann53__ch7.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,53,7,eating,drink,test,25654
a_column_co_driver__run1_2018-05-29-15-21-10.ids_2__vp13__ann45__ch1.jpg,a_column_co_driver,13,vp13/run1_2018-05-29-15-21-10.ids_2,45,1,opening_bottle,drink,test,24606
a_column_co_driver__run2_2018-05-23-11-05-00.ids_2__vp6__ann49__ch1.jpg,a_column_co_driver,6,vp6/run2_2018-05-23-11-05-00.ids_2,49,1,drinking,drink,train,26353
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann78__ch1.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,78,1,drinking,drink,val,20333
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann20__ch2.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,20,2,drinking,drink,val,11832
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann104__ch5.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,104,5,eating,drink,val,40820
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann48__ch14.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,48,14,eating,drink,test,22536
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann85__ch12.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,85,12,eating,drink,train,34323
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann20__ch1.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,20,1,drinking,drink,val,11785
a_column_co_driver__run1_2018-05-24-13-44-01.ids_2__vp11__ann44__ch0.jpg,a_column_co_driver,11,vp11/run1_2018-05-24-13-44-01.ids_2,44,0,drinking,drink,test,20381
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann93__ch18.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,93,18,eating,drink,val,35938
a_column_co_driver__run1_2018-05-24-15-44-28.ids_2__vp12__ann40__ch0.jpg,a_column_co_driver,12,vp12/run1_2018-05-24-15-44-28.ids_2,40,0,eating,drink,train,17840
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann17__ch0.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,17,0,closing_bottle,drink,train,10289
a_column_co_driver__run1_2018-05-24-15-44-28.ids_2__vp12__ann42__ch6.jpg,a_column_co_driver,12,vp12/run1_2018-05-24-15-44-28.ids_2,42,6,eating,drink,train,18931
a_column_co_driver__run1b_2018-05-08-08-46-01.ids_2__vp3__ann70__ch0.jpg,a_column_co_driver,3,vp3/run1b_2018-05-08-08-46-01.ids_2,70,0,eating,drink,train,30247
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann93__ch35.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,93,35,eating,drink,val,37464
a_column_co_driver__run1_2018-05-23-10-21-45.ids_2__vp6__ann80__ch4.jpg,a_column_co_driver,6,vp6/run1_2018-05-23-10-21-45.ids_2,80,4,eating,drink,train,41128
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann58__ch16.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,58,16,eating,drink,train,30483
a_column_co_driver__run1_2018-05-23-10-21-45.ids_2__vp6__ann78__ch7.jpg,a_column_co_driver,6,vp6/run1_2018-05-23-10-21-45.ids_2,78,7,eating,drink,train,40363
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann17__ch9.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,17,9,eating,drink,train,9980
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann46__ch0.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,46,0,preparing_food,drink,test,20574
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann78__ch12.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,78,12,eating,drink,train,38268
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann48__ch6.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,48,6,eating,drink,test,21814
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann16__ch1.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,16,1,eating,drink,val,10628
a_column_co_driver__run1_2018-05-03-14-08-31.ids_2__vp2__ann70__ch0.jpg,a_column_co_driver,2,vp2/run1_2018-05-03-14-08-31.ids_2,70,0,eating,drink,train,39687
a_column_co_driver__run2_2018-05-24-14-08-46.ids_2__vp10__ann96__ch0.jpg,a_column_co_driver,10,vp10/run2_2018-05-24-14-08-46.ids_2,96,0,closing_bottle,drink,train,33985
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann45__ch0.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,45,0,opening_bottle,drink,train,15273
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann11__ch4.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,11,4,eating,drink,train,9205
a_column_co_driver__run2_2018-05-29-14-33-44.ids_2__vp1__ann45__ch0.jpg,a_column_co_driver,1,vp1/run2_2018-05-29-14-33-44.ids_2,45,0,opening_bottle,drink,train,20963
a_column_co_driver__run2b_2018-05-22-15-50-07.ids_2__vp5__ann79__ch0.jpg,a_column_co_driver,5,vp5/run2b_2018-05-22-15-50-07.ids_2,79,0,drinking,drink,test,29017
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann44__ch2.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,44,2,eating,drink,test,20443
a_column_co_driver__run1b_2018-05-29-14-02-47.ids_2__vp1__ann55__ch0.jpg,a_column_co_driver,1,vp1/run1b_2018-05-29-14-02-47.ids_2,55,0,drinking,drink,train,16718
a_column_co_driver__run1b_2018-05-29-14-02-47.ids_2__vp1__ann114__ch0.jpg,a_column_co_driver,1,vp1/run1b_2018-05-29-14-02-47.ids_2,114,0,drinking,drink,train,29055
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann104__ch5.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,104,5,eating,drink,train,48752
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann88__ch0.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,88,0,drinking,drink,train,35235
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann20__ch0.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,20,0,closing_bottle,drink,train,17746
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann9__ch4.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,9,4,eating,drink,train,11616
a_column_co_driver__run2_2018-05-23-11-05-00.ids_2__vp6__ann65__ch5.jpg,a_column_co_driver,6,vp6/run2_2018-05-23-11-05-00.ids_2,65,5,eating,drink,train,30033
a_column_co_driver__run1d_2018-05-23-14-54-38.ids_2__vp8__ann58__ch0.jpg,a_column_co_driver,8,vp8/run1d_2018-05-23-14-54-38.ids_2,58,0,eating,drink,train,29051
a_column_co_driver__run1_2018-05-24-15-44-28.ids_2__vp12__ann70__ch0.jpg,a_column_co_driver,12,vp12/run1_2018-05-24-15-44-28.ids_2,70,0,drinking,drink,train,31035
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann83__ch1.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,83,1,opening_bottle,drink,train,26428
a_column_co_driver__run1_2018-05-30-13-05-35.ids_2__vp15__ann21__ch0.jpg,a_column_co_driver,15,vp15/run1_2018-05-30-13-05-35.ids_2,21,0,closing_bottle,drink,val,10019
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann90__ch23.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,90,23,eating,drink,train,30969
a_column_co_driver__run1_2018-05-23-10-21-45.ids_2__vp6__ann80__ch0.jpg,a_column_co_driver,6,vp6/run1_2018-05-23-10-21-45.ids_2,80,0,eating,drink,train,40766
a_column_co_driver__run1_2018-05-24-15-44-28.ids_2__vp12__ann42__ch12.jpg,a_column_co_driver,12,vp12/run1_2018-05-24-15-44-28.ids_2,42,12,eating,drink,train,19470
a_column_co_driver__run1b_2018-05-23-16-19-17.ids_2__vp9__ann28__ch3.jpg,a_column_co_driver,9,vp9/run1b_2018-05-23-16-19-17.ids_2,28,3,eating,drink,train,10672
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann51__ch1.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,51,1,eating,drink,test,24162
a_column_co_driver__run1_2018-05-22-13-28-51.ids_2__vp4__ann100__ch2.jpg,a_column_co_driver,4,vp4/run1_2018-05-22-13-28-51.ids_2,100,2,eating,drink,train,45406
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann123__ch0.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,123,0,eating,drink,test,45626
a_column_co_driver__run2_2018-05-23-11-05-00.ids_2__vp6__ann30__ch0.jpg,a_column_co_driver,6,vp6/run2_2018-05-23-11-05-00.ids_2,30,0,eating,drink,train,14831
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann16__ch0.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,16,0,eating,drink,train,9488
a_column_co_driver__run2_2018-05-24-16-21-35.ids_2__vp12__ann64__ch5.jpg,a_column_co_driver,12,vp12/run2_2018-05-24-16-21-35.ids_2,64,5,eating,drink,train,24698
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann90__ch18.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,90,18,eating,drink,val,39760
a_column_co_driver__run1_2018-05-22-13-28-51.ids_2__vp4__ann26__ch3.jpg,a_column_co_driver,4,vp4/run1_2018-05-22-13-28-51.ids_2,26,3,eating,drink,train,16819
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann88__ch2.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,88,2,eating,drink,val,33277
a_column_co_driver__run1b_2018-05-23-16-19-17.ids_2__vp9__ann25__ch0.jpg,a_column_co_driver,9,vp9/run1b_2018-05-23-16-19-17.ids_2,25,0,preparing_food,drink,train,9988
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann83__ch4.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,83,4,opening_bottle,drink,train,26696
a_column_co_driver__run1b_2018-05-29-14-02-47.ids_2__vp1__ann100__ch1.jpg,a_column_co_driver,1,vp1/run1b_2018-05-29-14-02-47.ids_2,100,1,closing_bottle,drink,train,26970
a_column_co_driver__run2_2018-05-30-11-34-54.ids_2__vp13__ann50__ch2.jpg,a_column_co_driver,13,vp13/run2_2018-05-30-11-34-54.ids_2,50,2,opening_bottle,drink,test,23026
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann90__ch25.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,90,25,eating,drink,val,40392
a_column_co_driver__run1_2018-05-24-15-44-28.ids_2__vp12__ann42__ch19.jpg,a_column_co_driver,12,vp12/run1_2018-05-24-15-44-28.ids_2,42,19,eating,drink,train,20083
a_column_co_driver__run2_2018-05-24-17-22-26.ids_2__vp2__ann38__ch9.jpg,a_column_co_driver,2,vp2/run2_2018-05-24-17-22-26.ids_2,38,9,eating,drink,train,20654
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann93__ch5.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,93,5,eating,drink,val,34774
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann36__ch0.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,36,0,closing_bottle,drink,test,18986
a_column_co_driver__run2_2018-05-23-15-30-27.ids_2__vp8__ann21__ch1.jpg,a_column_co_driver,8,vp8/run2_2018-05-23-15-30-27.ids_2,21,1,drinking,drink,train,9135
a_column_co_driver__run1_2018-05-29-15-21-10.ids_2__vp13__ann39__ch9.jpg,a_column_co_driver,13,vp13/run1_2018-05-29-15-21-10.ids_2,39,9,eating,drink,test,22480
a_column_co_driver__run1_2018-05-24-13-44-01.ids_2__vp11__ann85__ch1.jpg,a_column_co_driver,11,vp11/run1_2018-05-24-13-44-01.ids_2,85,1,eating,drink,test,31366
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann19__ch2.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,19,2,opening_bottle,drink,val,11635
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann86__ch11.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,86,11,eating,drink,val,35502
a_column_co_driver__run1b_2018-05-08-08-46-01.ids_2__vp3__ann80__ch1.jpg,a_column_co_driver,3,vp3/run1b_2018-05-08-08-46-01.ids_2,80,1,eating,drink,train,32141
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann105__ch5.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,105,5,eating,drink,test,41423
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann53__ch3.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,53,3,eating,drink,test,25293
a_column_co_driver__run1b_2018-05-23-16-19-17.ids_2__vp9__ann86__ch2.jpg,a_column_co_driver,9,vp9/run1b_2018-05-23-16-19-17.ids_2,86,2,eating,drink,train,22006
a_column_co_driver__run1_2018-05-24-13-44-01.ids_2__vp11__ann94__ch2.jpg,a_column_co_driver,11,vp11/run1_2018-05-24-13-44-01.ids_2,94,2,preparing_food,drink,test,32739
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann111__ch0.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,111,0,eating,drink,test,43220
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann11__ch0.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,11,0,drinking,drink,val,7494
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann80__ch1.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,80,1,eating,drink,val,31404
a_column_co_driver__run1_2018-05-22-15-10-41.ids_2__vp5__ann121__ch1.jpg,a_column_co_driver,5,vp5/run1_2018-05-22-15-10-41.ids_2,121,1,eating,drink,test,44754
a_column_co_driver__run1_2018-05-30-10-11-09.ids_2__vp14__ann86__ch16.jpg,a_column_co_driver,14,vp14/run1_2018-05-30-10-11-09.ids_2,86,16,eating,drink,val,35952
a_column_co_driver__run1_2018-05-23-10-21-45.ids_2__vp6__ann80__ch1.jpg,a_column_co_driver,6,vp6/run1_2018-05-23-10-21-45.ids_2,80,1,eating,drink,train,40856
a_column_co_driver__run1_2018-05-29-15-21-10.ids_2__vp13__ann39__ch14.jpg,a_column_co_driver,13,vp13/run1_2018-05-29-15-21-10.ids_2,39,14,eating,drink,test,22929
a_column_co_driver__run1_2018-05-23-10-21-45.ids_2__vp6__ann85__ch2.jpg,a_column_co_driver,6,vp6/run1_2018-05-23-10-21-45.ids_2,85,2,eating,drink,train,42263
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann11__ch5.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,11,5,eating,drink,train,9289
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann96__ch0.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,96,0,eating,drink,train,33945
a_column_co_driver__run2_2018-05-22-14-25-04.ids_2__vp4__ann104__ch4.jpg,a_column_co_driver,4,vp4/run2_2018-05-22-14-25-04.ids_2,104,4,eating,drink,train,48662
a_column_co_driver__run2_2018-05-24-14-35-56.ids_2__vp11__ann62__ch0.jpg,a_column_co_driver,11,vp11/run2_2018-05-24-14-35-56.ids_2,62,0,preparing_food,drink,test,16357
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann100__ch0.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,100,0,drinking,drink,val,39842
a_column_co_driver__run1_2018-05-24-13-14-41.ids_2__vp10__ann90__ch19.jpg,a_column_co_driver,10,vp10/run1_2018-05-24-13-14-41.ids_2,90,19,eating,drink,train,30611
a_column_co_driver__run2_2018-05-23-11-05-00.ids_2__vp6__ann30__ch4.jpg,a_column_co_driver,6,vp6/run2_2018-05-23-11-05-00.ids_2,30,4,eating,drink,train,15189
a_column_co_driver__run1_2018-05-24-15-44-28.ids_2__vp12__ann42__ch2.jpg,a_column_co_driver,12,vp12/run1_2018-05-24-15-44-28.ids_2,42,2,eating,drink,train,18574
a_column_co_driver__run1_2018-05-23-13-16-52.ids_2__vp7__ann60__ch6.jpg,a_column_co_driver,7,vp7/run1_2018-05-23-13-16-52.ids_2,60,6,eating,drink,train,20012
a_column_co_driver__run2_2018-05-30-10-42-33.ids_2__vp14__ann78__ch2.jpg,a_column_co_driver,14,vp14/run2_2018-05-30-10-42-33.ids_2,78,2,eating,drink,val,30631
